TCWC ID,Family,Genus,Species,Country,State,County,Specific Locality,Date,Latitiude,Longitude,Datum
1942,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,Peach Creek. 10 mi SE College Station,9/18/1946,30.52556,-96.21583,WGS 84
1954,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,12 mi E Bryan,8/4/1946,30.67417,-96.17139,WGS 84
1957,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,9 mi SE College Station,7/19/1946,30.53556,-96.2275,WGS 84
1959,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,15 mi SE College Station,9/21/1946,30.47417,-96.15611,WGS 84
1965,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,10 mi ESE College Station,2/16/1946,30.57333,-96.17861,WGS 84
1966,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,12 mi S Bryan,10/24/1946,30.50194,-96.34972,WGS 84
1967,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,13 mi ENE Bryan,8/5/1946,30.74667,-96.17,WGS 84
1970,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,7 mi W College Station,2/27/1946,30.62778,-96.21694,WGS 84
1971,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,1 mi S College Station,7/20/1946,30.61333,-96.33444,WGS 84
2688,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,10 mi S College Station,9/11/1946,30.48306,-96.32861,WGS 84
14520,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,Carter Creek,4/4/1959,30.66,-96.36333,WGS 84
14521,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,5 mi S Easterwood Airport,4/26/1959,30.51861,-96.35361,WGS 84
33400,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,8 mi N College Station,3/23/1963,30.74389,-96.33444,WGS 84
33426,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,Bryan. 747 Meadow Lane,5/28/1958,30.6425,-96.34806,WGS 84
33427,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,7.5 mi E College Station. near Navasota River,3/24/1956,30.62,-96.19333,WGS 84
42854,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,Navasota River near Peach Creek,10/10/1959,30.53528,-96.16111,WGS 84
63505,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,1 mi E FM 2347 on Texas A&M Sci. Road,4/17/1981,30.62472,-96.30833,WGS 84
68960,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,Peach Creek 9.5 miles SE College Station,3/13/1962,30.53,-96.22222,WGS 84
80450,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,3 mi S Wellborn; 16611 Windy Ryon Rd,5/26/1998,30.48972,-96.31306,WGS 84
85876,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,Jct FM 60/FM 168,5/6/2001,30.65833,-96.28694,WGS 84
90867,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,College Station. Rock Prairie Road,4/3/2006,30.56947,-96.201,
90868,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,College Station. Rock Prairie Road,4/1/2006,30.5595,-96.18653,
90966,Viperidae,Agkistrodon,contortrix,USA,Texas,Brazos,College Station. Rock Prairie Road,4/4/2006,30.54058,-96.19347,
